Family,Rep,CPS_D3,CPS_D4,CPS_D5,CPS_D6,CPS_D7
27.001,1,86.66666667,76.66666667,70,50,40
27.001,2,96.96969697,90.90909091,81.81818182,57.57575758,36.36363636
27.002,1,87.5,68.75,62.5,34.375,15.625
27.002,2,96.55172414,75.86206897,55.17241379,44.82758621,31.03448276
27.003,1,90.90909091,84.84848485,75.75757576,60.60606061,39.39393939
27.003,2,81.81818182,78.78787879,72.72727273,48.48484848,33.33333333
27.004,1,85.29411765,82.35294118,58.82352941,26.47058824,17.64705882
27.004,2,96.875,93.75,78.125,62.5,37.5
27.005,1,87.5,56.25,43.75,9.375,3.125
27.005,2,72.72727273,57.57575758,42.42424242,33.33333333,6.060606061
27.007,1,97.22222222,94.44444444,83.33333333,69.44444444,47.22222222
27.007,2,100,78.78787879,72.72727273,54.54545455,33.33333333
27.009,1,88.23529412,67.64705882,52.94117647,20.58823529,2.941176471
27.009,2,87.5,84.375,62.5,56.25,37.5
27.01,1,100,100,100,93.75,78.125
27.01,2,90.32258065,74.19354839,67.74193548,9.677419355,3.225806452
27.011,1,96.55172414,96.55172414,96.55172414,82.75862069,82.75862069
27.011,2,100,96.96969697,96.96969697,93.93939394,84.84848485
27.012,1,100,93.33333333,93.33333333,83.33333333,70
27.012,2,90.32258065,67.74193548,38.70967742,16.12903226,3.225806452
27.013,1,87.09677419,80.64516129,67.74193548,45.16129032,19.35483871
27.013,2,86.66666667,83.33333333,83.33333333,60,40
27.014,1,100,90.625,81.25,56.25,40.625
27.014,2,100,96.875,93.75,87.5,59.375
27.015,1,89.47368421,68.42105263,60.52631579,21.05263158,10.52631579
27.015,2,77.41935484,70.96774194,48.38709677,19.35483871,0
27.016,1,96.55172414,82.75862069,68.96551724,55.17241379,13.79310345
27.016,2,100,69.6969697,60.60606061,39.39393939,18.18181818
27.017,1,90.90909091,60.60606061,42.42424242,21.21212121,18.18181818
27.017,2,83.33333333,63.33333333,33.33333333,10,0
27.019,1,96.96969697,87.87878788,87.87878788,48.48484848,24.24242424
27.019,2,93.75,78.125,65.625,59.375,40.625
27.02,1,87.09677419,77.41935484,58.06451613,22.58064516,12.90322581
27.02,2,90.625,78.125,56.25,28.125,18.75
27.021,1,88.57142857,77.14285714,71.42857143,28.57142857,17.14285714
27.021,2,90.625,75,50,15.625,12.5
27.022,1,96.66666667,96.66666667,90,80,73.33333333
27.022,2,87.87878788,87.87878788,69.6969697,39.39393939,30.3030303
27.023,1,92.85714286,75,64.28571429,7.142857143,0
27.023,2,89.65517241,68.96551724,48.27586207,17.24137931,0
27.024,1,79.31034483,72.4137931,72.4137931,37.93103448,27.5862069
27.024,2,100,93.33333333,86.66666667,63.33333333,60
27.025,1,90.32258065,87.09677419,74.19354839,54.83870968,32.25806452
27.025,2,100,93.33333333,80,53.33333333,33.33333333
27.026,1,93.10344828,68.96551724,55.17241379,17.24137931,0
27.026,2,90,76.66666667,70,40,13.33333333
27.027,1,100,90.90909091,72.72727273,54.54545455,39.39393939
27.027,2,100,81.25,71.875,53.125,18.75
27.028,1,100,90,86.66666667,63.33333333,46.66666667
27.028,2,96.77419355,83.87096774,64.51612903,48.38709677,35.48387097
27.029,1,93.33333333,83.33333333,50,30,13.33333333
27.029,2,90,83.33333333,53.33333333,30,3.333333333
27.031,1,93.5483871,83.87096774,67.74193548,41.93548387,38.70967742
27.031,2,100,96.42857143,89.28571429,67.85714286,50
27.032,1,100,79.41176471,44.11764706,23.52941176,11.76470588
27.032,2,100,90,83.33333333,66.66666667,56.66666667
27.033,1,96.66666667,90,70,53.33333333,36.66666667
27.033,2,87.87878788,78.78787879,63.63636364,39.39393939,36.36363636
27.034,1,96.66666667,90,76.66666667,46.66666667,20
27.034,2,90.90909091,84.84848485,66.66666667,54.54545455,45.45454545
27.035,1,89.28571429,78.57142857,60.71428571,39.28571429,25
27.035,2,100,90.32258065,87.09677419,83.87096774,83.87096774
27.036,1,82.75862069,72.4137931,48.27586207,27.5862069,24.13793103
27.036,2,90,90,60,36.66666667,33.33333333
27.037,1,96.66666667,90,80,60,43.33333333
27.037,2,100,90,80,60,43.33333333
27.038,1,96.55172414,93.10344828,79.31034483,27.5862069,20.68965517
27.038,2,93.10344828,86.20689655,75.86206897,44.82758621,24.13793103
27.039,1,97.14285714,97.14285714,88.57142857,82.85714286,71.42857143
27.039,2,96.77419355,90.32258065,64.51612903,38.70967742,19.35483871
27.04,1,96.96969697,96.96969697,87.87878788,87.87878788,75.75757576
27.04,2,91.42857143,85.71428571,77.14285714,48.57142857,34.28571429
27.041,1,78.78787879,69.6969697,42.42424242,36.36363636,24.24242424
27.041,2,93.5483871,93.5483871,90.32258065,51.61290323,35.48387097
27.042,1,89.28571429,60.71428571,39.28571429,21.42857143,21.42857143
27.042,2,90.625,78.125,68.75,28.125,15.625
27.043,1,96.55172414,96.55172414,89.65517241,82.75862069,72.4137931
27.043,2,96.77419355,77.41935484,70.96774194,54.83870968,45.16129032
27.044,1,90.90909091,87.87878788,75.75757576,57.57575758,36.36363636
27.044,2,85.71428571,82.85714286,74.28571429,37.14285714,34.28571429
27.045,1,86.66666667,66.66666667,56.66666667,33.33333333,33.33333333
27.045,2,96.55172414,79.31034483,51.72413793,41.37931034,24.13793103
27.046,1,100,93.75,87.5,78.125,65.625
27.046,2,100,100,96.96969697,78.78787879,57.57575758
27.047,1,93.5483871,83.87096774,83.87096774,58.06451613,41.93548387
27.047,2,92.30769231,89.74358974,82.05128205,69.23076923,64.1025641
27.048,1,100,82.85714286,71.42857143,42.85714286,20
27.048,2,100,78.125,46.875,21.875,6.25
27.05,1,96.66666667,83.33333333,66.66666667,53.33333333,50
27.05,2,90,80,56.66666667,46.66666667,43.33333333
27.051,1,93.5483871,74.19354839,58.06451613,41.93548387,38.70967742
27.051,2,90,90,50,50,40
27.052,1,100,86.66666667,83.33333333,40,33.33333333
27.052,2,96.66666667,93.33333333,90,63.33333333,46.66666667
27.053,1,94.44444444,94.44444444,91.66666667,88.88888889,77.77777778
27.053,2,93.75,93.75,78.125,78.125,75
27.054,1,90,80,63.33333333,33.33333333,23.33333333
27.054,2,90.32258065,74.19354839,45.16129032,29.03225806,19.35483871
27.056,1,100,97.05882353,85.29411765,55.88235294,47.05882353
27.056,2,92.30769231,65.38461538,46.15384615,30.76923077,15.38461538
27.057,1,93.33333333,93.33333333,80,66.66666667,63.33333333
27.057,2,100,90.625,78.125,62.5,46.875
27.058,1,96.875,90.625,75,65.625,37.5
27.058,2,97.05882353,91.17647059,76.47058824,50,44.11764706
27.059,1,86.66666667,86.66666667,73.33333333,43.33333333,33.33333333
27.059,2,96.77419355,93.5483871,87.09677419,64.51612903,54.83870968
27.06,1,74.19354839,29.03225806,16.12903226,0,0
27.06,2,87.5,56.25,40.625,18.75,0
27.061,1,96.66666667,90,63.33333333,46.66666667,40
27.061,2,97.05882353,67.64705882,52.94117647,50,44.11764706
27.062,1,93.33333333,93.33333333,76.66666667,60,53.33333333
27.062,2,96.875,93.75,81.25,62.5,34.375
27.063,1,97.05882353,94.11764706,85.29411765,73.52941176,70.58823529
27.063,2,89.65517241,89.65517241,68.96551724,31.03448276,24.13793103
27.064,1,88.23529412,82.35294118,76.47058824,61.76470588,44.11764706
27.064,2,91.42857143,80,74.28571429,74.28571429,62.85714286
27.065,1,87.09677419,80.64516129,74.19354839,45.16129032,41.93548387
27.065,2,81.81818182,72.72727273,54.54545455,27.27272727,18.18181818
27.066,1,100,93.5483871,87.09677419,83.87096774,64.51612903
27.066,2,87.09677419,87.09677419,61.29032258,61.29032258,25.80645161
27.067,1,90,90,90,83.33333333,76.66666667
27.067,2,89.65517241,86.20689655,82.75862069,75.86206897,75.86206897
27.068,1,83.87096774,54.83870968,48.38709677,9.677419355,6.451612903
27.068,2,74.19354839,64.51612903,48.38709677,29.03225806,12.90322581
27.069,1,83.33333333,76.66666667,60,43.33333333,36.66666667
27.069,2,96.875,81.25,62.5,40.625,28.125
27.07,1,76.66666667,56.66666667,43.33333333,10,0
27.07,2,93.10344828,82.75862069,44.82758621,27.5862069,10.34482759
27.071,1,100,87.5,75,40.625,25
27.071,2,100,97.05882353,85.29411765,64.70588235,58.82352941
27.072,1,100,93.33333333,90,76.66666667,66.66666667
27.072,2,100,87.09677419,83.87096774,77.41935484,67.74193548
27.073,1,71.875,43.75,28.125,12.5,3.125
27.073,2,90.32258065,83.87096774,51.61290323,32.25806452,9.677419355
27.074,1,90.90909091,39.39393939,9.090909091,3.03030303,0
27.074,2,96.66666667,63.33333333,36.66666667,13.33333333,3.333333333
27.075,1,83.87096774,70.96774194,58.06451613,32.25806452,32.25806452
27.075,2,64.28571429,46.42857143,32.14285714,7.142857143,3.571428571
Hybrid,1,100,80.64516129,70.96774194,29.03225806,3.225806452
Hybrid,2,90.32258065,74.19354839,58.06451613,29.03225806,6.451612903
FrenchR1,1,100,100,100,96.875,96.875
FrenchR1,2,100,100,96.77419355,93.5483871,93.5483871
FrenchR2,1,100,100,100,100,100
FrenchR2,2,100,100,100,100,100
FrenchS1,1,84.84848485,81.81818182,60.60606061,12.12121212,3.03030303
FrenchS1,2,96.42857143,96.42857143,78.57142857,64.28571429,39.28571429
FrenchU1,1,90,80,70,63.33333333,43.33333333
FrenchU1,2,90,80,70,56.66666667,46.66666667
FrenchU2,1,79.31034483,75.86206897,41.37931034,20.68965517,13.79310345
FrenchU2,2,90.625,81.25,65.625,62.5,46.875
