Date,Hour,AMPM,Temp_C
5/24/2018,12:00:00,AM,15.151
5/24/2018,1:00:00,AM,15.772
5/24/2018,2:00:00,AM,15.963
5/24/2018,3:00:00,AM,15.843
5/24/2018,4:00:00,AM,15.318
5/24/2018,5:00:00,AM,14.673
5/24/2018,6:00:00,AM,13.762
5/24/2018,7:00:00,AM,13.329
5/24/2018,8:00:00,AM,12.654
5/24/2018,9:00:00,AM,12.703
5/24/2018,10:00:00,AM,13.978
5/24/2018,11:00:00,AM,14.864
5/24/2018,12:00:00,PM,15.867
5/24/2018,1:00:00,PM,17.486
5/24/2018,2:00:00,PM,17.51
5/24/2018,3:00:00,PM,15.485
5/24/2018,4:00:00,PM,14.433
5/24/2018,5:00:00,PM,16.344
5/24/2018,6:00:00,PM,14.553
5/24/2018,7:00:00,PM,13.81
5/24/2018,8:00:00,PM,12.461
5/24/2018,9:00:00,PM,11.977
5/24/2018,10:00:00,PM,11.88
5/24/2018,11:00:00,PM,12.968
5/25/2018,12:00:00,AM,14.888
5/25/2018,1:00:00,AM,15.031
5/25/2018,2:00:00,AM,15.867
5/25/2018,3:00:00,AM,16.058
5/25/2018,4:00:00,AM,13.473
5/25/2018,5:00:00,AM,13.016
5/25/2018,6:00:00,AM,15.079
5/25/2018,7:00:00,AM,13.978
5/25/2018,8:00:00,AM,13.642
5/25/2018,9:00:00,AM,12.799
5/25/2018,10:00:00,AM,12.847
5/25/2018,11:00:00,AM,14.242
5/25/2018,12:00:00,PM,14.577
5/25/2018,1:00:00,PM,15.103
5/25/2018,2:00:00,PM,16.201
5/25/2018,3:00:00,PM,17.201
5/25/2018,4:00:00,PM,17.272
5/25/2018,5:00:00,PM,17.605
5/25/2018,6:00:00,PM,15.079
5/25/2018,7:00:00,PM,14.385
5/25/2018,8:00:00,PM,13.209
5/25/2018,9:00:00,PM,12.63
5/25/2018,10:00:00,PM,12.171
5/25/2018,11:00:00,PM,12.606
5/26/2018,12:00:00,AM,12.847
5/26/2018,1:00:00,AM,13.906
5/26/2018,2:00:00,AM,15.055
5/26/2018,3:00:00,AM,15.27
5/26/2018,4:00:00,AM,15.103
5/26/2018,5:00:00,AM,12.316
5/26/2018,6:00:00,AM,12.098
5/26/2018,7:00:00,AM,13.161
5/26/2018,8:00:00,AM,14.242
5/26/2018,9:00:00,AM,13.978
5/26/2018,10:00:00,AM,13.281
5/26/2018,11:00:00,AM,13.112
5/26/2018,12:00:00,PM,13.618
5/26/2018,1:00:00,PM,14.84
5/26/2018,2:00:00,PM,17.106
5/26/2018,3:00:00,PM,16.511
5/26/2018,4:00:00,PM,17.843
5/26/2018,5:00:00,PM,18.818
5/26/2018,6:00:00,PM,16.106
5/26/2018,7:00:00,PM,14.625
5/26/2018,8:00:00,PM,14.361
5/26/2018,9:00:00,PM,13.666
5/26/2018,10:00:00,PM,13.257
5/26/2018,11:00:00,PM,13.04
5/27/2018,12:00:00,AM,13.353
5/27/2018,1:00:00,AM,13.666
5/27/2018,2:00:00,AM,14.721
5/27/2018,3:00:00,AM,15.223
5/27/2018,4:00:00,AM,15.223
5/27/2018,5:00:00,AM,11.248
5/27/2018,6:00:00,AM,10.59
5/27/2018,7:00:00,AM,11.224
5/27/2018,8:00:00,AM,13.738
5/27/2018,9:00:00,AM,14.481
5/27/2018,10:00:00,AM,14.433
5/27/2018,11:00:00,AM,12.171
5/27/2018,12:00:00,PM,12.678
5/27/2018,1:00:00,PM,13.522
5/27/2018,2:00:00,PM,16.249
5/27/2018,3:00:00,PM,17.962
5/27/2018,4:00:00,PM,19.651
5/27/2018,5:00:00,PM,20.913
5/27/2018,6:00:00,PM,18.58
5/27/2018,7:00:00,PM,15.533
5/27/2018,8:00:00,PM,14.409
5/27/2018,9:00:00,PM,13.906
5/27/2018,10:00:00,PM,13.137
5/27/2018,11:00:00,PM,12.703
5/28/2018,12:00:00,AM,13.377
5/28/2018,1:00:00,AM,15.652
5/28/2018,2:00:00,AM,15.533
5/28/2018,3:00:00,AM,15.461
5/28/2018,4:00:00,AM,15.843
5/28/2018,5:00:00,AM,16.296
5/28/2018,6:00:00,AM,11.224
5/28/2018,7:00:00,AM,11.856
5/28/2018,8:00:00,AM,15.103
5/28/2018,9:00:00,AM,18.105
5/28/2018,10:00:00,AM,15.079
5/28/2018,11:00:00,AM,13.401
5/28/2018,12:00:00,PM,12.751
5/28/2018,1:00:00,PM,13.546
5/28/2018,2:00:00,PM,14.529
5/28/2018,3:00:00,PM,16.868
5/28/2018,4:00:00,PM,17.986
5/28/2018,5:00:00,PM,19.389
5/28/2018,6:00:00,PM,19.484
5/28/2018,7:00:00,PM,17.153
5/28/2018,8:00:00,PM,15.175
5/28/2018,9:00:00,PM,14.314
5/28/2018,10:00:00,PM,13.858
5/28/2018,11:00:00,PM,13.329
5/29/2018,12:00:00,AM,13.088
5/29/2018,1:00:00,AM,14.457
5/29/2018,2:00:00,AM,15.485
5/29/2018,3:00:00,AM,15.605
5/29/2018,4:00:00,AM,16.153
5/29/2018,5:00:00,AM,16.463
5/29/2018,6:00:00,AM,13.473
5/29/2018,7:00:00,AM,12.775
5/29/2018,8:00:00,AM,14.864
5/29/2018,9:00:00,AM,19.984
5/29/2018,10:00:00,AM,16.344
5/29/2018,11:00:00,AM,15.342
5/29/2018,12:00:00,PM,14.194
5/29/2018,1:00:00,PM,14.17
5/29/2018,2:00:00,PM,14.481
5/29/2018,3:00:00,PM,15.294
5/29/2018,4:00:00,PM,16.511
5/29/2018,5:00:00,PM,17.082
5/29/2018,6:00:00,PM,16.939
5/29/2018,7:00:00,PM,17.201
5/29/2018,8:00:00,PM,15.485
5/29/2018,9:00:00,PM,14.816
5/29/2018,10:00:00,PM,14.337
5/29/2018,11:00:00,PM,13.882
5/30/2018,12:00:00,AM,13.546
5/30/2018,1:00:00,AM,13.546
5/30/2018,2:00:00,AM,13.834
5/30/2018,3:00:00,AM,14.84
5/30/2018,4:00:00,AM,14.84
5/30/2018,5:00:00,AM,14.433
5/30/2018,6:00:00,AM,13.81
5/30/2018,7:00:00,AM,11.807
5/30/2018,8:00:00,AM,11.175
5/30/2018,9:00:00,AM,13.209
5/30/2018,10:00:00,AM,15.27
5/30/2018,11:00:00,AM,15.127
5/30/2018,12:00:00,PM,14.888
5/30/2018,1:00:00,PM,14.385
5/30/2018,2:00:00,PM,14.361
5/30/2018,3:00:00,PM,14.29
5/30/2018,4:00:00,PM,14.457
5/30/2018,5:00:00,PM,14.673
5/30/2018,6:00:00,PM,15.318
5/30/2018,7:00:00,PM,15.557
5/30/2018,8:00:00,PM,15.27
5/30/2018,9:00:00,PM,14.84
5/30/2018,10:00:00,PM,14.194
5/30/2018,11:00:00,PM,13.906
5/31/2018,12:00:00,AM,13.497
5/31/2018,1:00:00,AM,13.137
5/31/2018,2:00:00,AM,13.714
5/31/2018,3:00:00,AM,13.425
5/31/2018,4:00:00,AM,13.161
5/31/2018,5:00:00,AM,12.871
5/31/2018,6:00:00,AM,12.534
5/31/2018,7:00:00,AM,12.171
5/31/2018,8:00:00,AM,11.734
5/31/2018,9:00:00,AM,14.05
5/31/2018,10:00:00,AM,15.509
5/31/2018,11:00:00,AM,16.463
5/31/2018,12:00:00,PM,15.008
5/31/2018,1:00:00,PM,14.697
5/31/2018,2:00:00,PM,14.074
5/31/2018,3:00:00,PM,13.978
5/31/2018,4:00:00,PM,13.93
5/31/2018,5:00:00,PM,14.074
5/31/2018,6:00:00,PM,14.361
5/31/2018,7:00:00,PM,15.008
5/31/2018,8:00:00,PM,15.414
5/31/2018,9:00:00,PM,14.84
5/31/2018,10:00:00,PM,14.05
5/31/2018,11:00:00,PM,13.69
6/1/2018,12:00:00,AM,13.377
6/1/2018,1:00:00,AM,13.112
6/1/2018,2:00:00,AM,13.209
6/1/2018,3:00:00,AM,13.185
6/1/2018,4:00:00,AM,13.69
6/1/2018,5:00:00,AM,14.457
6/1/2018,6:00:00,AM,14.194
6/1/2018,7:00:00,AM,13.161
6/1/2018,8:00:00,AM,12.534
6/1/2018,9:00:00,AM,17.915
6/1/2018,10:00:00,AM,24.677
6/1/2018,11:00:00,AM,21.843
6/1/2018,12:00:00,PM,21.891
6/1/2018,1:00:00,PM,15.652
6/1/2018,2:00:00,PM,12.799
6/1/2018,3:00:00,PM,12.437
6/1/2018,4:00:00,PM,12.558
6/1/2018,5:00:00,PM,12.896
6/1/2018,6:00:00,PM,13.329
6/1/2018,7:00:00,PM,14.912
6/1/2018,8:00:00,PM,15.438
6/1/2018,9:00:00,PM,14.098
6/1/2018,10:00:00,PM,13.858
6/1/2018,11:00:00,PM,12.703
6/2/2018,12:00:00,AM,12.195
6/2/2018,1:00:00,AM,12.001
6/2/2018,2:00:00,AM,11.977
6/2/2018,3:00:00,AM,12.799
6/2/2018,4:00:00,AM,14.745
6/2/2018,5:00:00,AM,14.697
6/2/2018,6:00:00,AM,15.557
6/2/2018,7:00:00,AM,15.557
6/2/2018,8:00:00,AM,15.963
6/2/2018,9:00:00,AM,19.246
6/2/2018,10:00:00,AM,22.25
6/2/2018,11:00:00,AM,24.339
6/2/2018,12:00:00,PM,23.809
6/2/2018,1:00:00,PM,16.558
6/2/2018,2:00:00,PM,15.079
6/2/2018,3:00:00,PM,12.122
6/2/2018,4:00:00,PM,11.929
6/2/2018,5:00:00,PM,12.896
6/2/2018,6:00:00,PM,13.954
6/2/2018,7:00:00,PM,15.891
6/2/2018,8:00:00,PM,16.32
6/2/2018,9:00:00,PM,16.082
6/2/2018,10:00:00,PM,15.629
6/2/2018,11:00:00,PM,13.449
6/3/2018,12:00:00,AM,12.678
6/3/2018,1:00:00,AM,12.122
6/3/2018,2:00:00,AM,12.171
6/3/2018,3:00:00,AM,12.654
6/3/2018,4:00:00,AM,13.137
6/3/2018,5:00:00,AM,14.649
6/3/2018,6:00:00,AM,16.01
6/3/2018,7:00:00,AM,16.106
6/3/2018,8:00:00,AM,17.819
6/3/2018,9:00:00,AM,20.603
6/3/2018,10:00:00,AM,25.04
6/3/2018,11:00:00,AM,19.27
6/3/2018,12:00:00,PM,20.579
6/3/2018,1:00:00,PM,19.603
6/3/2018,2:00:00,PM,16.272
6/3/2018,3:00:00,PM,13.786
6/3/2018,4:00:00,PM,12.751
6/3/2018,5:00:00,PM,13.329
6/3/2018,6:00:00,PM,13.57
6/3/2018,7:00:00,PM,14.481
6/3/2018,8:00:00,PM,15.055
6/3/2018,9:00:00,PM,16.01
6/3/2018,10:00:00,PM,16.32
6/3/2018,11:00:00,PM,15.342
6/4/2018,12:00:00,AM,13.81
6/4/2018,1:00:00,AM,13.401
6/4/2018,2:00:00,AM,12.968
6/4/2018,3:00:00,AM,12.847
6/4/2018,4:00:00,AM,13.209
6/4/2018,5:00:00,AM,13.978
6/4/2018,6:00:00,AM,15.318
6/4/2018,7:00:00,AM,15.414
6/4/2018,8:00:00,AM,16.082
6/4/2018,9:00:00,AM,16.272
6/4/2018,10:00:00,AM,14.529
6/4/2018,11:00:00,AM,16.582
6/4/2018,12:00:00,PM,17.225
6/4/2018,1:00:00,PM,16.915
6/4/2018,2:00:00,PM,16.177
6/4/2018,3:00:00,PM,15.581
6/4/2018,4:00:00,PM,15.008
6/4/2018,5:00:00,PM,14.601
6/4/2018,6:00:00,PM,14.218
6/4/2018,7:00:00,PM,14.074
6/4/2018,8:00:00,PM,14.194
6/4/2018,9:00:00,PM,14.074
6/4/2018,10:00:00,PM,14.649
6/4/2018,11:00:00,PM,14.601
6/5/2018,12:00:00,AM,15.031
6/5/2018,1:00:00,AM,14.29
6/5/2018,2:00:00,AM,14.002
6/5/2018,3:00:00,AM,13.594
6/5/2018,4:00:00,AM,13.401
6/5/2018,5:00:00,AM,13.353
6/5/2018,6:00:00,AM,13.497
6/5/2018,7:00:00,AM,13.57
6/5/2018,8:00:00,AM,13.257
6/5/2018,9:00:00,AM,13.762
6/5/2018,10:00:00,AM,15.055
6/5/2018,11:00:00,AM,16.296
6/5/2018,12:00:00,PM,17.177
6/5/2018,1:00:00,PM,16.487
6/5/2018,2:00:00,PM,16.654
6/5/2018,3:00:00,PM,15.724
6/5/2018,4:00:00,PM,15.414
6/5/2018,5:00:00,PM,14.505
6/5/2018,6:00:00,PM,14.242
6/5/2018,7:00:00,PM,13.786
6/5/2018,8:00:00,PM,13.69
6/5/2018,9:00:00,PM,15.342
6/5/2018,10:00:00,PM,14.912
6/5/2018,11:00:00,PM,14.409
6/6/2018,12:00:00,AM,14.266
6/6/2018,1:00:00,AM,14.409
6/6/2018,2:00:00,AM,14.026
6/6/2018,3:00:00,AM,14.002
6/6/2018,4:00:00,AM,13.69
6/6/2018,5:00:00,AM,13.546
6/6/2018,6:00:00,AM,13.401
6/6/2018,7:00:00,AM,13.281
6/6/2018,8:00:00,AM,13.642
6/6/2018,9:00:00,AM,14.002
6/6/2018,10:00:00,AM,14.984
6/6/2018,11:00:00,AM,16.892
6/6/2018,12:00:00,PM,16.439
6/6/2018,1:00:00,PM,16.987
6/6/2018,2:00:00,PM,15.605
6/6/2018,3:00:00,PM,16.296
6/6/2018,4:00:00,PM,15.557
6/6/2018,5:00:00,PM,15.485
6/6/2018,6:00:00,PM,14.433
6/6/2018,7:00:00,PM,14.122
6/6/2018,8:00:00,PM,13.618
6/6/2018,9:00:00,PM,14.385
6/6/2018,10:00:00,PM,15.294
6/6/2018,11:00:00,PM,15.055
6/7/2018,12:00:00,AM,14.601
6/7/2018,1:00:00,AM,14.505
6/7/2018,2:00:00,AM,14.864
6/7/2018,3:00:00,AM,14.457
6/7/2018,4:00:00,AM,14.242
6/7/2018,5:00:00,AM,14.074
6/7/2018,6:00:00,AM,13.834
6/7/2018,7:00:00,AM,13.834
6/7/2018,8:00:00,AM,13.93
6/7/2018,9:00:00,AM,14.409
6/7/2018,10:00:00,AM,15.127
6/7/2018,11:00:00,AM,16.32
6/7/2018,12:00:00,PM,18.485
6/7/2018,1:00:00,PM,17.011
6/7/2018,2:00:00,PM,18.771
6/7/2018,3:00:00,PM,17.986
6/7/2018,4:00:00,PM,16.487
6/7/2018,5:00:00,PM,15.796
6/7/2018,6:00:00,PM,15.151
6/7/2018,7:00:00,PM,14.194
6/7/2018,8:00:00,PM,13.69
6/7/2018,9:00:00,PM,13.497
6/7/2018,10:00:00,PM,13.81
6/7/2018,11:00:00,PM,14.745
6/8/2018,12:00:00,AM,14.912
6/8/2018,1:00:00,AM,15.342
6/8/2018,2:00:00,AM,15.055
6/8/2018,3:00:00,AM,15.103
6/8/2018,4:00:00,AM,14.721
6/8/2018,5:00:00,AM,14.721
6/8/2018,6:00:00,AM,14.577
6/8/2018,7:00:00,AM,14.337
6/8/2018,8:00:00,AM,14.409
6/8/2018,9:00:00,AM,14.84
6/8/2018,10:00:00,AM,15.366
6/8/2018,11:00:00,AM,16.558
6/8/2018,12:00:00,PM,17.819
6/8/2018,1:00:00,PM,19.817
6/8/2018,2:00:00,PM,17.439
6/8/2018,3:00:00,PM,17.177
6/8/2018,4:00:00,PM,17.034
6/8/2018,5:00:00,PM,16.034
6/8/2018,6:00:00,PM,15.7
6/8/2018,7:00:00,PM,14.266
6/8/2018,8:00:00,PM,13.858
6/8/2018,9:00:00,PM,13.714
6/8/2018,10:00:00,PM,14.361
6/8/2018,11:00:00,PM,14.864
6/9/2018,12:00:00,AM,15.891
6/9/2018,1:00:00,AM,16.106
6/9/2018,2:00:00,AM,16.392
6/9/2018,3:00:00,AM,15.986
6/9/2018,4:00:00,AM,13.762
6/9/2018,5:00:00,AM,15.509
6/9/2018,6:00:00,AM,15.581
6/9/2018,7:00:00,AM,15.103
6/9/2018,8:00:00,AM,15.008
6/9/2018,9:00:00,AM,15.079
6/9/2018,10:00:00,AM,15.103
6/9/2018,11:00:00,AM,15.748
6/9/2018,12:00:00,PM,16.082
6/9/2018,1:00:00,PM,17.153
6/9/2018,2:00:00,PM,19.08
6/9/2018,3:00:00,PM,19.722
6/9/2018,4:00:00,PM,18.271
6/9/2018,5:00:00,PM,16.725
6/9/2018,6:00:00,PM,15.915
6/9/2018,7:00:00,PM,14.96
6/9/2018,8:00:00,PM,13.906
6/9/2018,9:00:00,PM,13.473
6/9/2018,10:00:00,PM,12.992
6/9/2018,11:00:00,PM,13.93
6/10/2018,12:00:00,AM,15.342
6/10/2018,1:00:00,AM,15.581
6/10/2018,2:00:00,AM,15.103
6/10/2018,3:00:00,AM,14.745
6/10/2018,4:00:00,AM,10.296
6/10/2018,5:00:00,AM,10.001
6/10/2018,6:00:00,AM,11.029
6/10/2018,7:00:00,AM,14.697
6/10/2018,8:00:00,AM,15.127
6/10/2018,9:00:00,AM,14.721
6/10/2018,10:00:00,AM,12.896
6/10/2018,11:00:00,AM,13.954
6/10/2018,12:00:00,PM,14.433
6/10/2018,1:00:00,PM,15.342
6/10/2018,2:00:00,PM,16.868
6/10/2018,3:00:00,PM,18.319
6/10/2018,4:00:00,PM,18.081
6/10/2018,5:00:00,PM,16.677
6/10/2018,6:00:00,PM,15.509
6/10/2018,7:00:00,PM,14.529
6/10/2018,8:00:00,PM,13.786
6/10/2018,9:00:00,PM,13.04
6/10/2018,10:00:00,PM,12.606
6/10/2018,11:00:00,PM,12.799
6/11/2018,12:00:00,AM,13.425
6/11/2018,1:00:00,AM,15.103
6/11/2018,2:00:00,AM,15.557
6/11/2018,3:00:00,AM,15.509
6/11/2018,4:00:00,AM,13.088
6/11/2018,5:00:00,AM,11.346
6/11/2018,6:00:00,AM,11.88
6/11/2018,7:00:00,AM,12.799
6/11/2018,8:00:00,AM,15.39
6/11/2018,9:00:00,AM,15.127
6/11/2018,10:00:00,AM,13.522
6/11/2018,11:00:00,AM,12.558
6/11/2018,12:00:00,PM,13.257
6/11/2018,1:00:00,PM,14.984
6/11/2018,2:00:00,PM,17.153
6/11/2018,3:00:00,PM,18.652
6/11/2018,4:00:00,PM,19.341
6/11/2018,5:00:00,PM,18.58
6/11/2018,6:00:00,PM,15.939
6/11/2018,7:00:00,PM,14.721
6/11/2018,8:00:00,PM,14.122
6/11/2018,9:00:00,PM,13.329
6/11/2018,10:00:00,PM,12.799
6/11/2018,11:00:00,PM,12.582
6/12/2018,12:00:00,AM,13.233
6/12/2018,1:00:00,AM,14.936
6/12/2018,2:00:00,AM,15.581
6/12/2018,3:00:00,AM,16.63
6/12/2018,4:00:00,AM,16.773
6/12/2018,5:00:00,AM,11.443
6/12/2018,6:00:00,AM,11.248
6/12/2018,7:00:00,AM,12.098
6/12/2018,8:00:00,AM,15.223
6/12/2018,9:00:00,AM,16.153
6/12/2018,10:00:00,AM,15.485
6/12/2018,11:00:00,AM,12.364
6/12/2018,12:00:00,PM,12.074
6/12/2018,1:00:00,PM,12.847
6/12/2018,2:00:00,PM,16.773
6/12/2018,3:00:00,PM,18.271
6/12/2018,4:00:00,PM,19.603
6/12/2018,5:00:00,PM,19.96
6/12/2018,6:00:00,PM,17.368
6/12/2018,7:00:00,PM,14.864
6/12/2018,8:00:00,PM,13.57
6/12/2018,9:00:00,PM,13.137
6/12/2018,10:00:00,PM,12.34
6/12/2018,11:00:00,PM,11.759
6/13/2018,12:00:00,AM,12.316
6/13/2018,1:00:00,AM,13.642
6/13/2018,2:00:00,AM,14.577
6/13/2018,3:00:00,AM,15.557
6/13/2018,4:00:00,AM,16.701
6/13/2018,5:00:00,AM,16.844
6/13/2018,6:00:00,AM,11.88
6/13/2018,7:00:00,AM,11.589
6/13/2018,8:00:00,AM,13.762
6/13/2018,9:00:00,AM,17.653
6/13/2018,10:00:00,AM,17.772
6/13/2018,11:00:00,AM,15.294
6/13/2018,12:00:00,PM,12.509
6/13/2018,1:00:00,PM,12.316
6/13/2018,2:00:00,PM,12.219
6/13/2018,3:00:00,PM,12.944
6/13/2018,4:00:00,PM,13.714
6/13/2018,5:00:00,PM,14.84
6/13/2018,6:00:00,PM,17.391
6/13/2018,7:00:00,PM,14.792
6/13/2018,8:00:00,PM,13.594
6/13/2018,9:00:00,PM,12.944
6/13/2018,10:00:00,PM,12.461
6/13/2018,11:00:00,PM,11.88
6/14/2018,12:00:00,AM,11.71
6/14/2018,1:00:00,AM,12.171
6/14/2018,2:00:00,AM,12.992
6/14/2018,3:00:00,AM,13.786
6/14/2018,4:00:00,AM,14.96
6/14/2018,5:00:00,AM,15.676
6/14/2018,6:00:00,AM,14.457
6/14/2018,7:00:00,AM,10.663
6/14/2018,8:00:00,AM,12.05
6/14/2018,9:00:00,AM,14.936
6/14/2018,10:00:00,AM,19.674
6/14/2018,11:00:00,AM,15.748
6/14/2018,12:00:00,PM,13.834
6/14/2018,1:00:00,PM,12.461
6/14/2018,2:00:00,PM,12.147
6/14/2018,3:00:00,PM,13.04
6/14/2018,4:00:00,PM,14.816
6/14/2018,5:00:00,PM,16.868
6/14/2018,6:00:00,PM,17.629
6/14/2018,7:00:00,PM,18.319
6/14/2018,8:00:00,PM,15.414
6/14/2018,9:00:00,PM,13.618
6/14/2018,10:00:00,PM,13.161
6/14/2018,11:00:00,PM,11.953
6/15/2018,12:00:00,AM,11.005
6/15/2018,1:00:00,AM,10.883
6/15/2018,2:00:00,AM,14.409
6/15/2018,3:00:00,AM,15.461
6/15/2018,4:00:00,AM,15.103
6/15/2018,5:00:00,AM,15.414
6/15/2018,6:00:00,AM,16.177
6/15/2018,7:00:00,AM,15.103
6/15/2018,8:00:00,AM,12.195
6/15/2018,9:00:00,AM,15.103
6/15/2018,10:00:00,AM,19.508
6/15/2018,11:00:00,AM,18.771
6/15/2018,12:00:00,PM,15.676
6/15/2018,1:00:00,PM,13.161
6/15/2018,2:00:00,PM,12.534
6/15/2018,3:00:00,PM,12.654
6/15/2018,4:00:00,PM,13.353
6/15/2018,5:00:00,PM,14.984
6/15/2018,6:00:00,PM,15.533
6/15/2018,7:00:00,PM,15.772
6/15/2018,8:00:00,PM,16.01
6/15/2018,9:00:00,PM,14.697
6/15/2018,10:00:00,PM,12.92
6/15/2018,11:00:00,PM,12.364
6/16/2018,12:00:00,AM,12.171
6/16/2018,1:00:00,AM,11.613
